region,programme_title,p1_site,p1_speciality,p2_site,p2_speciality,p3_site,p3_speciality,p4_site,p4_speciality,p4_description,p5_site,p5_speciality,p5_description,p6_site,p6_speciality,p6_description
East,ScotE02007,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Neurosurgery,Murray Royal Hospital,Forensic Psychiatry,Rohallion Secure Care,Ninewells Hospital,Emergency Medicine,working across Tayside,Royal Victoria Hospital,Geriatric Medicine,
East,ScotE02008,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Neurosurgery,Ninewells Hospital,Geriatric Medicine,Royal Victoria Hospital,Geriatric Medicine,,Murray Royal Hospital,Forensic Psychiatry,Rohallion Secure Care,Ninewells Hospital,Emergency Medicine,
East,ScotE02009,Ninewells Hospital,Neurosurgery,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Emergency Medicine,,Royal Victoria Hospital,Geriatric Medicine,,Murray Royal Hospital,Forensic Psychiatry,Rohallion Secure Care
East,ScotE02010,Ninewells Hospital,Otolaryngology,Ninewells Hospital,Urology,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,General Surgery,working across Tayside,Ninewells Hospital,Paediatrics,Paediatrics and Neonatal Medicine,Royal Victoria Hospital,Geriatric Medicine,
East,ScotE02011,Ninewells Hospital,Urology,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Otolaryngology,Royal Victoria Hospital,Geriatric Medicine,,Ninewells Hospital,General Surgery,,Ninewells Hospital,Paediatrics,Paediatrics and Neonatal Medicine
East,ScotE02012,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Otolaryngology,Ninewells Hospital,Urology,Ninewells Hospital,Paediatrics,Paediatrics and Neonatal Medicine,Royal Victoria Hospital,Geriatric Medicine,,Ninewells Hospital,General Surgery,working across Tayside
East,ScotE02013,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,Trauma and Orthopaedic Surgery,Perth Royal Infirmary,Old Age Psychiatry,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Respiratory Medicine,Respiratory Medicine and Acute Internal Medicine,Ninewells Hospital,General Surgery,General Surgery and Surgical HDU
East,ScotE02014,Ninewells Hospital,Trauma and Orthopaedic Surgery,Perth Royal Infirmary,Old Age Psychiatry,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,General Surgery,General Surgery and Surgical HDU,Ninewells Hospital,Emergency Medicine,,Ninewells Hospital,Respiratory Medicine,Respiratory Medicine and Acute Internal Medicine
East,ScotE02015,Perth Royal Infirmary,Old Age Psychiatry,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Respiratory Medicine,Respiratory Medicine and Acute Internal Medicine,Ninewells Hospital,General Surgery,General Surgery and Surgical HDU,Ninewells Hospital,Emergency Medicine,working across Tayside
East,ScotE03001,Ninewells Hospital,Cardiology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Royal Victoria Hospital,Palliative medicine,NHS Tayside,General Practice,,Ninewells Hospital,General Surgery,General Surgery and Vascular Surgery,Ninewells Hospital,Emergency Medicine,working across Tayside
East,ScotE03002,Ninewells Hospital,Trauma and Orthopaedic Surgery,Royal Victoria Hospital,Palliative medicine,Ninewells Hospital,Cardiology,Ninewells Hospital,Emergency Medicine,working across Tayside,NHS Tayside,General Practice,,Ninewells Hospital,General Surgery,General Surgery and Vascular Surgery
East,ScotE03003,Royal Victoria Hospital,Palliative medicine,Ninewells Hospital,Cardiology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,General Surgery,General Surgery and Vascular Surgery,Ninewells Hospital,Emergency Medicine,working across Tayside,NHS Tayside,General Practice,
East,ScotE03004,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,Trauma and Orthopaedic Surgery,Dudhope Young Peoples Inpatient Unit,Child and Adolescent Psychiatry,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Gastroenterology,Gastroenterology and Acute Internal Medicine,Ninewells Hospital,General Surgery,
East,ScotE03005,Ninewells Hospital,Trauma and Orthopaedic Surgery,Dudhope Young Peoples Inpatient Unit,Child and Adolescent Psychiatry,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,General Surgery,,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Gastroenterology,Gastroenterology and Acute Internal Medicine
East,ScotE03006,Dudhope Young Peoples Inpatient Unit,Child and Adolescent Psychiatry,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Gastroenterology,Gastroenterology and Acute Internal Medicine,Ninewells Hospital,General Surgery,,Ninewells Hospital,Emergency Medicine,working across Tayside
East,ScotE03007,Ninewells Hospital,General Surgery,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,General Surgery,,Ninewells Hospital,Paediatrics,Paediatrics and Neonatal Medicine,NHS Tayside,General Practice,
East,ScotE03008,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,General Surgery,NHS Tayside,General Practice,,Ninewells Hospital,General Surgery,,Ninewells Hospital,Paediatrics,Paediatrics and Neonatal Medicine
East,ScotE03009,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,General Surgery,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Paediatrics,Paediatrics and Neonatal Medicine,NHS Tayside,General Practice,,Ninewells Hospital,General Surgery,
East,ScotE03010,Ninewells Hospital,Urology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Cardiology,Royal Victoria Hospital,Geriatric Medicine,,Ninewells Hospital,General Surgery,,Ninewells Hospital,Respiratory Medicine,Respiratory Medicine and Acute Internal Medicine
East,ScotE03011,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Cardiology,Ninewells Hospital,Urology,Ninewells Hospital,Respiratory Medicine,Respiratory Medicine and Acute Internal Medicine,Royal Victoria Hospital,Geriatric Medicine,,Ninewells Hospital,General Surgery,
East,ScotE03012,Ninewells Hospital,Cardiology,Ninewells Hospital,Urology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,General Surgery,,Ninewells Hospital,Respiratory Medicine,Respiratory Medicine and Acute Internal Medicine,Royal Victoria Hospital,Geriatric Medicine,
East,ScotE03013,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Ophthalmology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Geriatric Medicine,Geriatric Medicine and Acute Internal Medicine,Ninewells Hospital,General Surgery,General Surgery based in the High Dependency Unit (HDU),NHS Tayside,General Practice,
East,ScotE03014,Ninewells Hospital,Ophthalmology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Perth Royal Infirmary,General (Internal) Medicine,NHS Tayside,General Practice,,Ninewells Hospital,Geriatric Medicine,Geriatric Medicine and Acute Internal Medicine,Ninewells Hospital,General Surgery,General Surgery based in the High Dependency Unit (HDU)
East,ScotE03015,Ninewells Hospital,Trauma and Orthopaedic Surgery,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Ophthalmology,Ninewells Hospital,General Surgery,General Surgery based in the High Dependency Unit (HDU),NHS Tayside,General Practice,,Ninewells Hospital,Geriatric Medicine,Geriatric Medicine and Acute Internal Medicine
East,ScotE04001,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,General Surgery,Ninewells Hospital,Trauma and Orthopaedic Surgery,working across Tayside,Ninewells Hospital,Cardiology,Cardiology and Acute Internal Medicine,Ninewells Hospital,General Surgery,General Surgery and Vascular Surgery
East,ScotE04002,Ninewells Hospital,General Surgery,Ninewells Hospital,General Surgery,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,General Surgery,General Surgery and Vascular Surgery,Ninewells Hospital,Trauma and Orthopaedic Surgery,working across Tayside,Ninewells Hospital,Cardiology,Cardiology and Acute Internal Medicine
East,ScotE04003,Ninewells Hospital,General Surgery,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Cardiology,Cardiology and Acute Internal Medicine,Ninewells Hospital,General Surgery,General Surgery and Vascular Surgery,Ninewells Hospital,Trauma and Orthopaedic Surgery,working across Tayside
East,ScotE04004,Ninewells Hospital,Renal Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Infectious Diseases,Infectious Diseases and Acute Internal Medicine,Ninewells Hospital,Trauma and Orthopaedic Surgery,working across Tayside
East,ScotE04005,Ninewells Hospital,General Surgery,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Renal Medicine,Ninewells Hospital,Trauma and Orthopaedic Surgery,working across Tayside,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Infectious Diseases,Infectious Diseases and Acute Internal Medicine
East,ScotE04006,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Renal Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Infectious Diseases,Infectious Diseases and Acute Internal Medicine,Ninewells Hospital,Trauma and Orthopaedic Surgery,working across Tayside,Ninewells Hospital,Emergency Medicine,working across Tayside
East,ScotE04007,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Respiratory Medicine,Ninewells Hospital,Geriatric Medicine,,NHS Tayside,General Practice,,Ninewells Hospital,Emergency Medicine,working across Tayside
East,ScotE04008,Ninewells Hospital,General Surgery,Ninewells Hospital,Respiratory Medicine,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Emergency Medicine,,Ninewells Hospital,Geriatric Medicine,,NHS Tayside,General Practice,
East,ScotE04009,Ninewells Hospital,Respiratory Medicine,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,General Surgery,NHS Tayside,General Practice,,Ninewells Hospital,Emergency Medicine,,Ninewells Hospital,Geriatric Medicine,
East,ScotE04010,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Urology,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,Trauma and Orthopaedic Surgery,,Ninewells Hospital,General (Internal) Medicine,General (Internal) Medicine and Acute Internal Medicine,Ninewells Hospital,Neurology,
East,ScotE04011,Ninewells Hospital,Urology,Ninewells Hospital,Infectious Diseases,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Neurology,,Ninewells Hospital,Trauma and Orthopaedic Surgery,,Ninewells Hospital,General (Internal) Medicine,General (Internal) Medicine and Acute Internal Medicine
East,ScotE04012,Ninewells Hospital,Infectious Diseases,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Urology,Ninewells Hospital,General (Internal) Medicine,General (Internal) Medicine and Acute Internal Medicine,Ninewells Hospital,Neurology,,Ninewells Hospital,Trauma and Orthopaedic Surgery,General (Internal) Medicine and Acute Internal Medicine
East,ScotE04013,Ninewells Hospital,Cardiology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Obstetrics and Gynaecology,Ninewells Hospital,Intensive Care Medicine,,NHS Tayside,General Practice,,Perth Royal Infirmary,General (Internal) Medicine,
East,ScotE04014,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Obstetrics and Gynaecology,Ninewells Hospital,Cardiology,Perth Royal Infirmary,General (Internal) Medicine,,Ninewells Hospital,Intensive Care Medicine,,NHS Tayside,General Practice,
East,ScotE04015,Ninewells Hospital,Obstetrics and Gynaecology,Ninewells Hospital,Cardiology,Ninewells Hospital,Trauma and Orthopaedic Surgery,NHS Tayside,General Practice,,Perth Royal Infirmary,General Practice,,Ninewells Hospital,Intensive Care Medicine,
East,ScotE05001,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,General (Internal) Medicine,Carseview Centre,Psychiatry of Learning Disability,Carseview Centre and Strathmartine Hospital,Perth Royal Infirmary,General (Internal) Medicine,,Royal Victoria Hospital,Geriatric Medicine,
East,ScotE05002,Ninewells Hospital,General Surgery,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,General (Internal) Medicine,Royal Victoria Hospital,Geriatric Medicine,,Carseview Centre,Psychiatry of Learning Disability,Carseview Centre and Strathmartine Hospital,Perth Royal Infirmary,General (Internal) Medicine,
East,ScotE05003,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,General Surgery,Perth Royal Infirmary,General (Internal) Medicine,,Royal Victoria Hospital,Geriatric Medicine,,Carseview Centre,Psychiatry of Learning Disability,Carseview Centre and Strathmartine Hospital
East,ScotE05004,Ninewells Hospital,Geriatric Medicine,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Respiratory Medicine,Ninewells Hospital,Emergency Medicine,,NHS Tayside,General Practice,,Murray Royal Hospital,General Psychiatry,
East,ScotE05005,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Respiratory Medicine,Ninewells Hospital,Geriatric Medicine,Murray Royal Hospital,General Psychiatry,,Ninewells Hospital,Emergency Medicine,,NHS Tayside,General Practice,
East,ScotE05006,Ninewells Hospital,Respiratory Medicine,Ninewells Hospital,Geriatric Medicine,Perth Royal Infirmary,General (Internal) Medicine,NHS Tayside,General Practice,,Murray Royal Hospital,General Psychiatry,,Ninewells Hospital,Emergency Medicine,
East,ScotE05007,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Emergency Medicine,NHS Tayside,General Practice,,Ninewells Hospital,Trauma and Orthopaedic Surgery,,Perth Royal Infirmary,General (Internal) Medicine,
East,ScotE05008,Ninewells Hospital,General Surgery,Ninewells Hospital,Emergency Medicine,Ninewells Hospital,Geriatric Medicine,Perth Royal Infirmary,General (Internal) Medicine,,NHS Tayside,General Practice,,Ninewells Hospital,Trauma and Orthopaedic Surgery,
East,ScotE05009,Ninewells Hospital,Emergency Medicine,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Trauma and Orthopaedic Surgery,,Perth Royal Infirmary,General (Internal) Medicine,,NHS Tayside,General Practice,
East,ScotE05010,Ninewells Hospital,Gastroenterology,Ninewells Hospital,General Surgery,Ninewells Hospital,Emergency Medicine,Perth Royal Infirmary,General (Internal) Medicine,,Ninewells Hospital,Trauma and Orthopaedic Surgery,,Ninewells Hospital,Plastic Surgery,
East,ScotE05011,Ninewells Hospital,General Surgery,Ninewells Hospital,Emergency Medicine,Ninewells Hospital,Gastroenterology,Ninewells Hospital,Plastic Surgery,,Perth Royal Infirmary,General (Internal) Medicine,,Ninewells Hospital,Trauma and Orthopaedic Surgery,
East,ScotE05012,Ninewells Hospital,Emergency Medicine,Ninewells Hospital,Gastroenterology,Ninewells Hospital,General Surgery,Ninewells Hospital,Trauma and Orthopaedic Surgery,,Ninewells Hospital,Plastic Surgery,,Perth Royal Infirmary,General (Internal) Medicine,
East,ScotE05013,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Neurology,Ninewells Hospital,Trauma and Orthopaedic Surgery,,NHS Tayside,General Practice,,Perth Royal Infirmary,General (Internal) Medicine,
East,ScotE05014,Ninewells Hospital,General Surgery,Ninewells Hospital,Neurology,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,General (Internal) Medicine,,Ninewells Hospital,Trauma and Orthopaedic Surgery,,NHS Tayside,General Practice,
East,ScotE05015,Ninewells Hospital,Neurology,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,General Surgery,NHS Tayside,General Practice,,Perth Royal Infirmary,General (Internal) Medicine,,Ninewells Hospital,Trauma and Orthopaedic Surgery,
East,ScotE06001,Ninewells Hospital,Gastroenterology,Ninewells Hospital,General Surgery,Ninewells Hospital,Neurosurgery,Ninewells Hospital,Obstetrics and Gynaecology,,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Trauma and Orthopaedic Surgery,working across Tayside
East,ScotE06002,Ninewells Hospital,General Surgery,Ninewells Hospital,Neurosurgery,Ninewells Hospital,Gastroenterology,Ninewells Hospital,Trauma and Orthopaedic Surgery,working across Tayside,Ninewells Hospital,Obstetrics and Gynaecology,,Ninewells Hospital,Emergency Medicine,working across Tayside
East,ScotE06003,Ninewells Hospital,Neurosurgery,Ninewells Hospital,Gastroenterology,Ninewells Hospital,General Surgery,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Trauma and Orthopaedic Surgery,working across Tayside,Ninewells Hospital,Obstetrics and Gynaecology,
East,ScotE06004,Ninewells Hospital,Renal Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Respiratory Medicine,Ninewells Hospital,Neurosurgery,,Ninewells Hospital,Medical Oncology,,Ninewells Hospital,Emergency Medicine,working across Tayside
East,ScotE06005,Ninewells Hospital,General Surgery,Ninewells Hospital,Respiratory Medicine,Ninewells Hospital,Renal Medicine,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Neurosurgery,,Ninewells Hospital,Medical Oncology,
East,ScotE06006,Ninewells Hospital,Respiratory Medicine,Ninewells Hospital,Renal Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Medical Oncology,,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Neurosurgery,
East,ScotE06007,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Gastroenterology,Ninewells Hospital,Ophthalmology,,Ninewells Hospital,Emergency Medicine,working across Tayside,Cornhill Macmillan Centre,Palliative Medicine,
East,ScotE06008,Ninewells Hospital,General Surgery,Ninewells Hospital,Gastroenterology,Perth Royal Infirmary,General (Internal) Medicine,Cornhill Macmillan Centre,Palliative Medicine,,Ninewells Hospital,Ophthalmology,,Ninewells Hospital,Emergency Medicine,
East,ScotE06009,Ninewells Hospital,Gastroenterology,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Emergency Medicine,,Cornhill Macmillan Centre,Palliative Medicine,,Ninewells Hospital,Ophthalmology,
East,ScotE06010,Perth Royal Infirmary,General (Internal) Medicine,Royal Victoria Hospital,Palliative medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Geriatric Medicine,Geriatric Medicine and Acute Internal Medicine,Ninewells Hospital,Oral and Maxillo-facial Surgery,,NHS Tayside,General Practice,
East,ScotE06011,Royal Victoria Hospital,Palliative medicine,Ninewells Hospital,General Surgery,Perth Royal Infirmary,General (Internal) Medicine,NHS Tayside,General Practice,,Ninewells Hospital,Geriatric Medicine,Geriatric Medicine and Acute Internal Medicine,Ninewells Hospital,Oral and Maxillo-facial Surgery,
East,ScotE06012,Ninewells Hospital,General Surgery,Perth Royal Infirmary,General (Internal) Medicine,Royal Victoria Hospital,Palliative medicine,Ninewells Hospital,Oral and Maxillo-facial Surgery,,NHS Tayside,General Practice,,Ninewells Hospital,Geriatric Medicine,Geriatric Medicine and Acute Internal Medicine
East,ScotE06013,Ninewells Hospital,Urology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Perth Royal Infirmary,General (Internal) Medicine,NHS Tayside,General Practice,,Ninewells Hospital,General (Internal) Medicine,General (Internal) Medicine and Acute Internal Medicine,Ninewells Hospital,Otolaryngology,
East,ScotE06014,Ninewells Hospital,Trauma and Orthopaedic Surgery,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Urology,Ninewells Hospital,Otolaryngology,,NHS Tayside,General Practice,,Ninewells Hospital,General (Internal) Medicine,General (Internal) Medicine and Acute Internal Medicine
East,ScotE06015,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Urology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,General (Internal) Medicine,General (Internal) Medicine and Acute Internal Medicine,Ninewells Hospital,Otolaryngology,,NHS Tayside,General Practice,
East,ScotE07001,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Plastic Surgery,Ninewells Hospital,Cardiology,Cardiology and Acute Internal Medicine,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Academic Foundation Programme,option to select either research or teaching
East,ScotE07002,Ninewells Hospital,General Surgery,Ninewells Hospital,Plastic Surgery,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,Emergency Medicine,working across Tayside,Ninewells Hospital,Academic Foundation Programme,option to select either research or teaching,Ninewells Hospital,Cardiology,Cardiology and Acute Internal Medicine
East,ScotE07003,Ninewells Hospital,Plastic Surgery,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Academic Foundation Programme,option to select either research or teaching,Ninewells Hospital,Cardiology,Cardiology and Acute Internal Medicine,Ninewells Hospital,Emergency Medicine,working across Tayside
East,ScotE07004,Ninewells Hospital,Respiratory Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Haematology,Ninewells Hospital,Gastroenterology,Gastroenterology and Acute Internal Medicine,Carseview Centre,General Psychiatry,Carseview Centre and Arbroath,Ninewells Hospital,Academic Foundation Programme,option to select either research or teaching
East,ScotE07005,Ninewells Hospital,General Surgery,Ninewells Hospital,Haematology,Ninewells Hospital,Respiratory Medicine,Carseview Centre,General Psychiatry,Carseview Centre and Arbroath,Ninewells Hospital,Academic Foundation Programme,option to select either research or teaching,Ninewells Hospital,Gastroenterology,Gastroenterology and Acute Internal Medicine
East,ScotE07006,Ninewells Hospital,Haematology,Ninewells Hospital,Respiratory Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Academic Foundation Programme,option to select either research or teaching,Ninewells Hospital,Gastroenterology,Gastroenterology and Acute Internal Medicine,Carseview Centre,General Psychiatry,Carseview Centre and Arbroath
East,ScotE08001,Ninewells Hospital,Gastroenterology,Ninewells Hospital,Trauma and Orthopaedic Surgery,Perth Royal Infirmary,General (Internal) Medicine,Ninewells Hospital,Emergency Medicine,,Ninewells Hospital,Obstetrics and Gynaecology,,Ninewells Hospital,Geriatric Medicine,Community based working across Tayside
